Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,read_dates,genres
357486,Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,"Alexievich, Svetlana",Keith Gessen,"=""0312425848""","=""9780312425845""",0,4.42,Picador,Paperback,236,2006,1997,,2017/08/06,to-read,to-read (#367),to-read,,,,0,,,0,,,,,,,"Nonfiction|847;History|536;Cultural,Russia|85;Nobel Prize|69"
29502393,The Big Stick: The Limits of Soft Power and the Necessity of Military Force,Eliot A. Cohen,"Cohen, Eliot A.",,"=""0465044727""","=""9780465044726""",0,4.12,Basic Books,Hardcover,304,2017,2017,,2017/08/06,to-read,to-read (#366),to-read,,,,0,,,0,,,,,,,"Politics|7;Nonfiction|7;War|6;War,Military|6;History|2"
30971664,Salt Houses,Hala Alyan,"Alyan, Hala",,"=""0544912586""","=""9780544912588""",0,4.03,Houghton Mifflin Harcourt,Hardcover,320,2017,2017,,2017/08/06,to-read,to-read (#365),to-read,,,,0,,,0,,,,,,,"Fiction|126;Historical,Historical Fiction|97;Literary Fiction|21;Historical|15"
24040176,Negroland,Margo Jefferson,"Jefferson, Margo",,"=""0307378454""","=""9780307378453""",0,3.62,Pantheon,Hardcover,248,2015,2015,,2017/08/06,to-read,to-read (#364),to-read,,,,0,,,0,,,,,,,"Nonfiction|263;Autobiography,Memoir|242;Biography|70;Race|66;History|60;Cultural,African American|51"
31920820,Priestdaddy: A Memoir,Patricia Lockwood,"Lockwood, Patricia",,"=""1594633738""","=""9781594633737""",0,3.91,Riverhead Books,Hardcover,336,2017,2017,,2017/08/06,to-read,to-read (#363),to-read,,,,0,,,0,,,,,,,"Autobiography,Memoir|132;Nonfiction|106"
33155777,Fierce Kingdom,Gin Phillips,"Phillips, Gin",,"=""0735224277""","=""9780735224278""",0,3.59,Viking,Hardcover,288,2017,2017,,2017/08/06,to-read,to-read (#362),to-read,,,,0,,,0,,,,,,,"Fiction|162;Thriller|146;Thriller,Mystery Thriller|58;Suspense|49;Mystery|48"
18077752,"Acceptance (Southern Reach, #3)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104115""","=""9780374104115""",0,3.58,FSG Originals,Paperback,341,2014,2014,,2017/08/06,to-read,to-read (#361),to-read,,,,0,,,0,,,,,,,Science Fiction|603;Fiction|413;Horror|303;Fantasy|148
18077769,"Authority (Southern Reach, #2)",Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374104107""","=""9780374104108""",0,3.55,FSG Originals,Paperback,341,2014,2014,,2017/08/06,to-read,to-read (#360),to-read,,,,0,,,0,,,,,,,Science Fiction|765;Fiction|525;Horror|377;Fantasy|175
31451186,Borne,Jeff VanderMeer,"VanderMeer, Jeff",,"=""0374115249""","=""9780374115241""",0,3.98,"MCD/FSG (Farrar, Straus and Giroux)",Hardcover,325,2017,2017,,2017/08/06,to-read,to-read (#359),to-read,,,,0,,,0,,,,,,,"Science Fiction|351;Fiction|213;Fantasy|128;Science Fiction,Dystopia|93"
13732457,Golden Hill,Francis Spufford,"Spufford, Francis",,"=""0571225195""","=""9780571225194""",0,3.90,Faber & Faber,Hardcover,344,2016,2016,,2017/08/06,to-read,to-read (#358),to-read,,,,0,,,0,,,,,,,Fiction|135;Historical|38;New York|21
26127593,The Gustav Sonata,Rose Tremain,"Tremain, Rose",,"=""1784740039""","=""9781784740030""",0,3.92,Chatto  Windus,Hardcover,241,2016,2016,,2017/08/04,to-read,to-read (#357),to-read,,,,0,,,0,,,,,,,"Historical,Historical Fiction|141;Fiction|121;Literary Fiction|29;Historical|26;Music|21"
30408033,A Horse Walks into a Bar,David Grossman,"Grossman, David",Jessica Cohen,"=""0451493974""","=""9780451493972""",0,3.62,Alfred A. Knopf,Hardcover,208,2017,2014,,2017/08/04,to-read,to-read (#356),to-read,,,,0,,,0,,,,,,,"Fiction|110;Cultural,Israel|37;Contemporary|24;Literature,Jewish|17;Literary Fiction|16"
28588073,Hag-Seed,Margaret Atwood,"Atwood, Margaret",,"=""0804141290""","=""9780804141291""",0,3.90,Hogarth Press,Hardcover,301,2016,2016,,2017/08/04,to-read,to-read (#355),to-read,,,,0,,,0,,,,,,,"Fiction|563;Fantasy|131;Retellings|126;Literary Fiction|119;Contemporary|86;Cultural,Canada|64"
29773751,Solar Bones,Mike McCormack,"McCormack, Mike",,"=""0992817099""","=""9780992817091""",0,3.94,Tramp Press,Paperback,223,2016,2016,,2017/08/04,to-read,to-read (#354),to-read,,,,0,,,0,,,,,,,"Fiction|68;Cultural,Ireland|28;Contemporary|20;Literary Fiction|18;European Literature,Irish Literature|15;Novels|9;Did Not Finish|4;Family|4;Poetry|4;Literature|4"
605684,War & War,László Krasznahorkai,"Krasznahorkai, László",George Szirtes,"=""0811216098""","=""9780811216098""",0,4.14,New Directions,Paperback,288,2006,1999,,2017/08/03,to-read,to-read (#353),to-read,,,,0,,,0,,,,,,,"Fiction|61;European Literature,Hungarian Literature|26;Cultural,Hungary|25;Novels|13;Literature|13"
4004,The Pilgrimage,Paulo Coelho,"Coelho, Paulo",Alan R. Clarke,"=""0722534876""","=""9780722534878""",0,3.64,Thorsons,Paperback,226,1997,1987,,2017/08/03,to-read,to-read (#352),to-read,,,,0,,,0,,,,,,,Fiction|321;Philosophy|101;Spirituality|88;Novels|68;Travel|56;Inspirational|52;Religion|35;Literature|34;Contemporary|28;Self Help|23
18001610,The Corpse Reader,Antonio Garrido,"Garrido, Antonio",,"=""""","=""B00AB09KGO""",0,3.85,AmazonCrossing,Kindle Edition,494,2013,2011,,2017/07/31,to-read,to-read (#351),to-read,,,,0,,,0,,,,,,,"Historical,Historical Fiction|68;Mystery|42;Fiction|31;Historical|24;Cultural,China|15;Mystery,Crime|13"
